127.0.0.1 - - [12/Jun/2022:16:47:32 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:32 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 500 2901
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:34 +0800] "GET /LifeX/Login.jsp HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:34 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:34 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:36 +0800] "GET /LifeX/registration.jsp HTTP/1.1" 200 5585
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:36 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:36 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:40 +0800] "GET /LifeX/Login.jsp HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:40 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:40 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "POST /LifeX/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /LifeX/HomePage.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /LifeX/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /LifeX/css/homePageCSS.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /css/footerCSS.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /LifeX/images/applouse-xxl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /LifeX/css/images/hypnotize.png HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /LifeX/images/pexels-photo-1122405.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /LifeX/images/pexels-miguel-%C3%A1-padri%C3%B1%C3%A1n-19670.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:46 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:49 +0800] "POST /LifeX/RedirectFriends HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:49 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:49 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:49 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:49 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:49 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:47:53 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:48:02 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:31 +0800] "GET /LifeX/HomePage.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:34 +0800] "GET /LifeX/HomePage.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:34 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:34 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:34 +0800] "GET /css/footerCSS.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:34 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:34 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:34 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:34 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:35 +0800] "POST /LifeX/RedirectFriends HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:35 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:35 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:35 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:35 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:36 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
